T_0,T_1,T_2,T_3,T_4,T_5,T_6,T_7,T_8,T_9,T_10,T_11,T_12,T_13,T_14,T_15,T_16,T_17,T_18,T_19,T_20,T_21,T_22,T_23,T_24,T_25,T_26,T_27,T_28,T_29,T_30,T_31,T_32,T_33,T_34,T_35,T_36,T_37,T_38,T_39,T_40,T_41,T_42,T_43,T_44,T_45,T_46,T_47,T_48,T_49,T_50,T_51,T_52,T_53,T_54,T_55,T_56,T_57,T_58,T_59,T_60,T_61,T_62,T_63,T_64,T_65,T_66,T_67,T_68,T_69,T_70,T_71,T_72,T_73,T_74,T_75,T_76,T_77,T_78,T_79,T_80,T_81,T_82,T_83,T_84,T_85,T_86,T_87,T_88,T_89,T_90,T_91,T_92,T_93,T_94,T_95,T_96,T_97,T_98,T_99,T_100,T_101,T_102,T_103,T_104,T_105,T_106,T_107,T_108,T_109,T_110,T_111,T_112,T_113,T_114,T_115,T_116,T_117,T_118,T_119,T_120,T_121,T_122,T_123,T_124,T_125,T_126,T_127,T_128,T_129,T_130,T_131,T_132,T_133,T_134,T_135,T_136,T_137,T_138,T_139,T_140,
1,1,2,3,4,6,8,14,19,26,32,36,47,52,65,72,79,91,97,130,148,148,164,187,202,212,204,233,248,277,308,343,380,407,435,467,499,509,533,588,629,690,640,670,783,957,1323,1823,2509,3242,3841,4513,5422,6213,7330,8400,8929,8198,7054,5966,5085,4754,4377,4352,3759,3248,2706,2415,2248,2265,2302,2428,2340,2132,1805,1520,1252,1147,965,859,781,787,762,708,684,704,627,611,494,443,428,405,353,301,266,253,233,213,195,163,151,125,94,85,63,58,56,52,53,49,40,36,33,29,24,18,18,19,18,17,17,13,12,15,15,15,13,16,19,22,24,29,25,20,16,16,16,12,11,14,11,
1,2,2,4,7,10,12,20,22,26,36,41,51,52,59,64,81,104,125,160,190,225,240,271,312,327,352,362,325,329,356,422,464,514,521,498,556,634,709,920,1206,1575,1866,1905,1966,2078,2277,2460,2482,2342,2415,2697,3182,3611,3964,4298,4677,4620,3909,3738,3480,3320,3263,3086,2820,2772,2704,2529,2293,2143,2069,2069,2048,2199,2270,2292,2131,1776,1547,1268,1059,955,779,752,750,657,571,532,454,390,315,252,267,268,271,227,186,176,159,132,117,98,86,75,66,57,55,50,45,36,29,29,30,26,20,20,19,11,10,13,14,14,16,19,18,19,28,30,27,22,24,27,23,18,15,12,10,10,7,5,6,
1,1,1,4,7,10,10,12,16,16,27,35,46,54,62,75,85,91,95,106,119,134,151,167,188,224,280,338,367,359,365,395,420,432,390,359,402,489,639,758,770,857,885,1035,1288,1472,2004,2250,2687,2843,3060,3077,3042,3002,2934,3413,3704,3853,3886,4204,3858,3308,2875,2699,2610,2726,2950,3189,2916,2540,2446,2144,1910,1745,1761,1592,1444,1492,1354,1182,1020,927,890,916,884,761,680,641,558,488,453,396,326,307,282,246,213,180,155,133,122,105,98,81,82,83,79,72,61,57,51,45,35,32,31,25,22,22,20,20,25,30,27,26,26,27,25,25,23,21,19,18,18,15,12,13,12,14,10,11,6,
1,1,1,4,7,10,10,12,16,16,27,35,46,54,62,75,85,91,95,106,119,134,151,167,188,224,280,338,367,359,365,395,420,432,390,359,402,489,639,758,770,857,885,1035,1288,1472,2004,2250,2687,2843,3060,3077,3042,3002,2934,3413,3704,3853,3886,4204,3858,3308,2875,2699,2610,2726,2950,3189,2916,2540,2446,2144,1910,1745,1761,1592,1444,1492,1354,1182,1020,927,890,916,884,761,680,641,558,488,453,396,326,307,282,246,213,180,155,133,122,105,98,81,82,83,79,72,61,57,51,45,35,32,31,25,22,22,20,20,25,30,27,26,26,27,25,25,23,21,19,18,18,15,12,13,12,14,10,11,6,
1,2,2,3,3,6,9,14,19,24,29,33,49,60,74,87,93,103,120,143,141,162,193,223,250,271,285,313,305,310,354,374,397,401,432,431,461,512,591,723,941,1336,1585,1852,2001,2186,2227,2269,2262,2451,2662,2848,3569,4116,4811,5126,5764,5067,4575,4541,4043,3779,3699,3648,3617,3818,3404,3262,2989,2724,2603,2680,2325,2315,2295,2186,1873,1703,1550,1338,1152,1122,1076,964,926,828,712,642,570,484,453,440,419,369,316,280,246,228,206,186,180,185,167,165,139,127,108,88,79,75,61,54,43,39,30,32,34,33,34,28,30,25,27,26,32,37,37,35,29,26,25,23,20,18,16,14,13,13,14,10,9,
1,2,2,3,3,6,9,14,19,24,29,33,49,60,74,87,93,103,120,143,141,162,193,223,250,271,285,313,305,310,354,374,397,401,432,431,461,512,591,723,941,1336,1585,1852,2001,2186,2227,2269,2262,2451,2662,2848,3569,4116,4811,5126,5764,5067,4575,4541,4043,3779,3699,3648,3617,3818,3404,3262,2989,2724,2603,2680,2325,2315,2295,2186,1873,1703,1550,1338,1152,1122,1076,964,926,828,712,642,570,484,453,440,419,369,316,280,246,228,206,186,180,185,167,165,139,127,108,88,79,75,61,54,43,39,30,32,34,33,34,28,30,25,27,26,32,37,37,35,29,26,25,23,20,18,16,14,13,13,14,10,9,
1,2,2,3,3,6,9,14,19,24,29,33,49,60,74,87,93,103,120,143,141,162,193,223,250,271,285,313,305,310,354,374,397,401,432,431,461,512,591,723,941,1336,1585,1852,2001,2186,2227,2269,2262,2451,2662,2848,3569,4116,4811,5126,5764,5067,4575,4541,4043,3779,3699,3648,3617,3818,3404,3262,2989,2724,2603,2680,2325,2315,2295,2186,1873,1703,1550,1338,1152,1122,1076,964,926,828,712,642,570,484,453,440,419,369,316,280,246,228,206,186,180,185,167,165,139,127,108,88,79,75,61,54,43,39,30,32,34,33,34,28,30,25,27,26,32,37,37,35,29,26,25,23,20,18,16,14,13,13,14,10,9,
1,2,2,3,3,6,9,14,19,24,29,33,49,60,74,87,93,103,120,143,141,162,193,223,250,271,285,313,305,310,354,374,397,401,432,431,461,512,591,723,941,1336,1585,1852,2001,2186,2227,2269,2262,2451,2662,2848,3569,4116,4811,5126,5764,5067,4575,4541,4043,3779,3699,3648,3617,3818,3404,3262,2989,2724,2603,2680,2325,2315,2295,2186,1873,1703,1550,1338,1152,1122,1076,964,926,828,712,642,570,484,453,440,419,369,316,280,246,228,206,186,180,185,167,165,139,127,108,88,79,75,61,54,43,39,30,32,34,33,34,28,30,25,27,26,32,37,37,35,29,26,25,23,20,18,16,14,13,13,14,10,9,
1,2,4,3,5,8,7,9,15,22,28,41,53,51,55,72,75,81,87,98,110,125,135,160,203,232,277,305,373,389,433,414,451,488,506,568,673,761,852,978,1211,1406,1520,1618,1900,2194,2404,2517,2528,2934,3102,3629,4328,4829,5240,5858,6371,5934,5434,5066,5081,4999,4334,3777,3693,3594,3387,3696,3712,3522,3245,2924,2615,2263,2057,1858,1651,1604,1397,1301,1136,984,934,927,913,865,784,685,616,622,596,555,480,457,448,420,400,381,332,297,282,263,242,211,186,158,150,142,131,123,112,103,92,82,72,63,53,46,43,39,34,38,44,35,37,38,37,34,34,31,27,23,22,21,17,17,18,18,18,17,20,
1,2,2,4,4,7,9,13,15,17,21,21,32,38,52,57,66,74,68,76,91,98,114,140,161,187,219,304,283,316,348,347,402,383,406,436,486,587,732,949,1119,1387,1799,1897,1868,1911,1975,2013,1857,2013,2309,2657,3085,3444,4226,4790,5250,5150,5455,4869,4374,3998,3605,3276,3343,3206,3510,3672,3454,3182,2876,2544,2418,2239,2203,2161,1919,1684,1449,1467,1332,1212,1074,945,821,737,657,599,552,485,423,365,341,294,259,229,226,223,198,174,168,141,140,129,127,132,116,99,85,71,64,64,59,44,41,33,30,26,22,24,26,26,25,27,22,25,29,31,29,31,30,29,22,21,24,23,24,20,20,16,13,
1,2,2,4,6,12,16,17,24,28,36,41,47,48,58,64,75,74,73,87,89,112,128,130,137,155,190,219,241,260,295,304,367,403,410,410,381,400,451,603,778,957,1206,1446,1595,1727,1888,2052,2282,2455,2600,2770,3177,3794,4056,4086,3796,3508,3627,3458,3469,3655,3699,3674,3440,3164,2871,2645,2523,2239,2011,2082,2171,2087,2142,2023,1790,1587,1387,1264,1097,941,805,711,708,693,603,525,458,409,359,306,264,251,225,210,183,158,139,126,137,139,124,103,89,77,72,70,65,54,48,37,33,30,28,28,26,30,27,30,33,32,30,24,27,24,20,19,21,24,30,31,26,28,26,23,20,20,20,17,17,
1,1,2,3,4,7,9,11,15,22,27,34,41,61,72,90,94,98,108,111,127,146,172,185,197,240,250,278,338,389,419,428,449,456,452,494,550,566,627,673,797,960,1112,1281,1431,1656,1994,2251,2206,2271,2641,2932,3089,3380,3745,4113,4545,4779,4504,4192,3802,3554,3585,3413,3181,2929,2675,2558,2465,2209,2036,2087,2112,2129,1967,1860,1671,1488,1380,1254,1131,966,862,803,725,648,593,522,451,398,360,349,330,305,267,243,209,179,175,166,152,144,125,109,98,90,79,69,58,57,51,44,38,35,30,28,24,24,20,16,13,13,11,11,14,14,16,14,16,20,24,29,28,28,40,44,47,59,67,61,66,
1,1,2,3,4,7,9,11,15,22,27,34,41,61,72,90,94,98,108,111,127,146,172,185,197,240,250,278,338,389,419,428,449,456,452,494,550,566,627,673,797,960,1112,1281,1431,1656,1994,2251,2206,2271,2641,2932,3089,3380,3745,4113,4545,4779,4504,4192,3802,3554,3585,3413,3181,2929,2675,2558,2465,2209,2036,2087,2112,2129,1967,1860,1671,1488,1380,1254,1131,966,862,803,725,648,593,522,451,398,360,349,330,305,267,243,209,179,175,166,152,144,125,109,98,90,79,69,58,57,51,44,38,35,30,28,24,24,20,16,13,13,11,11,14,14,16,14,16,20,24,29,28,28,40,44,47,59,67,61,66,
1,1,1,4,5,7,8,9,16,21,27,33,44,46,51,60,66,72,78,91,107,118,139,176,186,205,225,265,280,291,330,375,429,492,504,541,584,633,688,832,989,1109,1257,1464,1818,1995,2237,2448,2576,2762,2872,2909,3201,3545,3824,3966,4392,4673,4861,4763,4278,3799,3452,3146,2868,2820,2768,2713,2761,2884,2682,2566,2280,2059,1937,1731,1591,1508,1367,1250,1111,1002,889,787,711,636,592,521,475,439,434,400,352,332,324,324,296,267,236,215,203,182,155,135,121,102,87,73,65,60,54,48,46,42,35,33,29,29,26,21,18,20,20,20,21,22,24,19,20,21,24,26,29,29,25,22,18,13,12,10,8,
1,1,1,4,5,7,8,9,16,21,27,33,44,46,51,60,66,72,78,91,107,118,139,176,186,205,225,265,280,291,330,375,429,492,504,541,584,633,688,832,989,1109,1257,1464,1818,1995,2237,2448,2576,2762,2872,2909,3201,3545,3824,3966,4392,4673,4861,4763,4278,3799,3452,3146,2868,2820,2768,2713,2761,2884,2682,2566,2280,2059,1937,1731,1591,1508,1367,1250,1111,1002,889,787,711,636,592,521,475,439,434,400,352,332,324,324,296,267,236,215,203,182,155,135,121,102,87,73,65,60,54,48,46,42,35,33,29,29,26,21,18,20,20,20,21,22,24,19,20,21,24,26,29,29,25,22,18,13,12,10,8,
1,1,1,4,5,7,8,9,16,21,27,33,44,46,51,60,66,72,78,91,107,118,139,176,186,205,225,265,280,291,330,375,429,492,504,541,584,633,688,832,989,1109,1257,1464,1818,1995,2237,2448,2576,2762,2872,2909,3201,3545,3824,3966,4392,4673,4861,4763,4278,3799,3452,3146,2868,2820,2768,2713,2761,2884,2682,2566,2280,2059,1937,1731,1591,1508,1367,1250,1111,1002,889,787,711,636,592,521,475,439,434,400,352,332,324,324,296,267,236,215,203,182,155,135,121,102,87,73,65,60,54,48,46,42,35,33,29,29,26,21,18,20,20,20,21,22,24,19,20,21,24,26,29,29,25,22,18,13,12,10,8,
1,1,1,4,5,7,8,9,16,21,27,33,44,46,51,60,66,72,78,91,107,118,139,176,186,205,225,265,280,291,330,375,429,492,504,541,584,633,688,832,989,1109,1257,1464,1818,1995,2237,2448,2576,2762,2872,2909,3201,3545,3824,3966,4392,4673,4861,4763,4278,3799,3452,3146,2868,2820,2768,2713,2761,2884,2682,2566,2280,2059,1937,1731,1591,1508,1367,1250,1111,1002,889,787,711,636,592,521,475,439,434,400,352,332,324,324,296,267,236,215,203,182,155,135,121,102,87,73,65,60,54,48,46,42,35,33,29,29,26,21,18,20,20,20,21,22,24,19,20,21,24,26,29,29,25,22,18,13,12,10,8,
1,1,1,4,5,7,8,9,16,21,27,33,44,46,51,60,66,72,78,91,107,118,139,176,186,205,225,265,280,291,330,375,429,492,504,541,584,633,688,832,989,1109,1257,1464,1818,1995,2237,2448,2576,2762,2872,2909,3201,3545,3824,3966,4392,4673,4861,4763,4278,3799,3452,3146,2868,2820,2768,2713,2761,2884,2682,2566,2280,2059,1937,1731,1591,1508,1367,1250,1111,1002,889,787,711,636,592,521,475,439,434,400,352,332,324,324,296,267,236,215,203,182,155,135,121,102,87,73,65,60,54,48,46,42,35,33,29,29,26,21,18,20,20,20,21,22,24,19,20,21,24,26,29,29,25,22,18,13,12,10,8,
1,1,1,4,5,7,8,9,16,21,27,33,44,46,51,60,66,72,78,91,107,118,139,176,186,205,225,265,280,291,330,375,429,492,504,541,584,633,688,832,989,1109,1257,1464,1818,1995,2237,2448,2576,2762,2872,2909,3201,3545,3824,3966,4392,4673,4861,4763,4278,3799,3452,3146,2868,2820,2768,2713,2761,2884,2682,2566,2280,2059,1937,1731,1591,1508,1367,1250,1111,1002,889,787,711,636,592,521,475,439,434,400,352,332,324,324,296,267,236,215,203,182,155,135,121,102,87,73,65,60,54,48,46,42,35,33,29,29,26,21,18,20,20,20,21,22,24,19,20,21,24,26,29,29,25,22,18,13,12,10,8,
1,1,1,4,5,7,8,9,16,21,27,33,44,46,51,60,66,72,78,91,107,118,139,176,186,205,225,265,280,291,330,375,429,492,504,541,584,633,688,832,989,1109,1257,1464,1818,1995,2237,2448,2576,2762,2872,2909,3201,3545,3824,3966,4392,4673,4861,4763,4278,3799,3452,3146,2868,2820,2768,2713,2761,2884,2682,2566,2280,2059,1937,1731,1591,1508,1367,1250,1111,1002,889,787,711,636,592,521,475,439,434,400,352,332,324,324,296,267,236,215,203,182,155,135,121,102,87,73,65,60,54,48,46,42,35,33,29,29,26,21,18,20,20,20,21,22,24,19,20,21,24,26,29,29,25,22,18,13,12,10,8,
1,1,1,4,5,7,8,9,16,21,27,33,44,46,51,60,66,72,78,91,107,118,139,176,186,205,225,265,280,291,330,375,429,492,504,541,584,633,688,832,989,1109,1257,1464,1818,1995,2237,2448,2576,2762,2872,2909,3201,3545,3824,3966,4392,4673,4861,4763,4278,3799,3452,3146,2868,2820,2768,2713,2761,2884,2682,2566,2280,2059,1937,1731,1591,1508,1367,1250,1111,1002,889,787,711,636,592,521,475,439,434,400,352,332,324,324,296,267,236,215,203,182,155,135,121,102,87,73,65,60,54,48,46,42,35,33,29,29,26,21,18,20,20,20,21,22,24,19,20,21,24,26,29,29,25,22,18,13,12,10,8,
1,1,1,4,5,7,8,9,16,21,27,33,44,46,51,60,66,72,78,91,107,118,139,176,186,205,225,265,280,291,330,375,429,492,504,541,584,633,688,832,989,1109,1257,1464,1818,1995,2237,2448,2576,2762,2872,2909,3201,3545,3824,3966,4392,4673,4861,4763,4278,3799,3452,3146,2868,2820,2768,2713,2761,2884,2682,2566,2280,2059,1937,1731,1591,1508,1367,1250,1111,1002,889,787,711,636,592,521,475,439,434,400,352,332,324,324,296,267,236,215,203,182,155,135,121,102,87,73,65,60,54,48,46,42,35,33,29,29,26,21,18,20,20,20,21,22,24,19,20,21,24,26,29,29,25,22,18,13,12,10,8,
1,1,1,3,5,8,7,12,19,26,36,46,50,55,63,71,87,105,127,145,148,167,187,205,222,242,276,282,296,304,324,378,423,457,486,525,587,663,795,949,1105,1295,1517,1660,1769,1934,2171,2485,2607,2726,2931,3071,3521,3816,4033,4315,4359,4586,4761,4694,4348,4016,3752,3720,3655,3569,3326,3225,3151,3065,2940,2832,2631,2377,2166,1906,1647,1443,1307,1137,1025,933,854,810,761,714,645,600,592,521,457,402,330,284,258,246,227,207,191,161,156,137,128,127,107,102,90,86,80,81,78,72,59,51,53,44,42,35,31,29,29,27,24,25,24,27,31,34,29,25,24,21,18,11,9,8,6,4,3,3,3,
